Nr,TID,PID,x [micron],y [micron],t [sec],I [val],Len [micron],D2S [micron],D2R [micron],D2P [micron],v [micron/sec],α [deg],Δα [deg]
1,1,1,650.189,530.492,0,96,0,0,NA,NA,NA,NA,NA
2,1,2,658.144,530.492,300.01,51,7.955,7.955,NA,7.955,0.027,0,NA
3,1,3,657.386,525.568,600.02,93,12.937,8.72,NA,4.982,0.017,-98.746,-98.746
4,1,4,650.568,527.083,900.03,144,19.921,3.43,NA,6.985,0.023,167.471,-93.783
5,1,5,653.22,522.538,1200.04,80,25.184,8.512,NA,5.262,0.018,-59.744,132.785
6,1,6,666.098,524.053,1500.05,53,38.151,17.163,NA,12.968,0.043,6.71,66.453
7,1,7,685.795,528.22,1800.06,161,58.284,35.679,NA,20.133,0.067,11.944,5.234
8,1,8,693.371,523.295,2100.07,255,67.319,43.777,NA,9.036,0.03,-33.024,-44.968
9,1,9,696.402,523.295,2400.08,113,70.35,46.769,NA,3.03,0.01,0,33.024
10,1,10,696.402,523.295,2700.09,154,70.35,46.769,NA,0,0,0,0
11,1,11,684.659,520.644,3000.1,208,82.388,35.849,NA,12.038,0.04,-167.276,-167.276
12,1,12,688.826,519.886,3300.11,133,86.623,40.066,NA,4.235,0.014,-10.305,156.971
13,1,13,688.826,519.886,3600.12,204,86.623,40.066,NA,0,0,0,10.305
14,1,14,694.508,519.886,3900.13,175,92.305,45.57,NA,5.682,0.019,0,0
15,1,15,694.508,519.886,4200.14,188,92.305,45.57,NA,0,0,0,0
16,1,16,695.265,515.72,4500.15,217,96.54,47.435,NA,4.235,0.014,-79.695,-79.695
17,1,17,695.265,515.72,4800.16,211,96.54,47.435,NA,0,0,0,79.695
18,1,18,715.341,517.235,5100.17,143,116.672,66.487,NA,20.133,0.067,4.316,4.316
19,1,19,719.508,516.098,5400.18,181,120.991,70.797,NA,4.319,0.014,-15.255,-19.571
20,2,1,571.78,642.992,1800.06,153,0,0,NA,NA,NA,NA,NA
21,2,2,550.568,666.098,2100.07,251,31.366,31.366,NA,31.366,0.105,132.553,NA
